org:group,resource country,organization country,org:resource,organization involved,org:role,concept:name,impact,product,lifecycle:transition,time:timestamp,case:concept:name
S42,Sweden,se,Torbjörn,Org line C,V3_2,Accepted,Medium,PROD453,In Progress,2012-05-15 17:56:51+00:00,1-467153946
S42,Sweden,se,Torbjörn,Org line C,V3_2,Completed,Medium,PROD453,Resolved,2012-05-15 17:57:39+00:00,1-467153946
S42,0,se,Siebel,Org line C,V3_2,Completed,Medium,PROD453,Closed,2012-05-23 01:22:25+00:00,1-467153946
D5,Belgium,nl,Bert,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-02-24 16:17:46+00:00,1-503573772
D5,Belgium,nl,Bert,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-02-24 16:17:52+00:00,1-503573772
V37 2nd,Belgium,nl,Bert,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2011-02-24 16:19:35+00:00,1-503573772
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD706,In Progress,2011-02-28 13:46:38+00:00,1-503573772
D5,Netherlands,nl,Luc,Org line C,A2_1,Queued,Medium,PROD706,Awaiting Assignment,2011-02-28 13:47:22+00:00,1-503573772
D5,Belgium,nl,Henk,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-02-28 13:48:12+00:00,1-503573772
V32 2nd,Belgium,nl,Henk,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2011-02-28 13:53:24+00:00,1-503573772
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,In Progress,2011-05-04 18:07:37+00:00,1-503573772
V32 2nd,Netherlands,nl,Tsun Fai,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2012-02-17 14:49:34+00:00,1-503573772
V32 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-03-21 16:21:44+00:00,1-503573772
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-03-26 11:55:35+00:00,1-503573772
V32 2nd,Netherlands,nl,Juan,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2012-03-26 11:57:04+00:00,1-503573772
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-04-03 15:29:44+00:00,1-503573772
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,Wait,2012-04-03 15:29:49+00:00,1-503573772
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-05-04 08:58:20+00:00,1-503573772
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Completed,Medium,PROD706,Resolved,2012-05-04 08:59:39+00:00,1-503573772
V37 2nd,0,nl,Siebel,Org line V7n,,Completed,Medium,PROD706,Closed,2012-05-12 01:21:31+00:00,1-503573772
D2,Belgium,nl,Ilona,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-02-28 14:13:33+00:00,1-504538555
D2,Belgium,nl,Ilona,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-02-28 14:13:40+00:00,1-504538555
V37 2nd,Belgium,nl,Ilona,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2011-02-28 14:17:09+00:00,1-504538555
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD706,In Progress,2011-03-01 15:59:36+00:00,1-504538555
D2,Netherlands,nl,Luc,Org line C,A2_1,Queued,Medium,PROD706,Awaiting Assignment,2011-03-01 16:00:16+00:00,1-504538555
D2,Belgium,nl,Evy,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-03-01 18:34:25+00:00,1-504538555
D2,Belgium,nl,Evy,Org line C,A2_1,Accepted,Medium,PROD706,Assigned,2011-03-01 18:46:00+00:00,1-504538555
D2,Belgium,nl,Ilona,Org line C,A2_1,Accepted,Medium,PROD706,In Progress,2011-03-02 07:42:49+00:00,1-504538555
V32 2nd,Belgium,nl,Ilona,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2011-03-02 07:44:11+00:00,1-504538555
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,In Progress,2011-05-04 18:08:55+00:00,1-504538555
V37 2nd,Netherlands,nl,Reinier,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2012-03-13 10:53:43+00:00,1-504538555
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-03-13 11:11:24+00:00,1-504538555
V32 2nd,Netherlands,nl,Juan,Org line V7n,,Queued,Medium,PROD706,Awaiting Assignment,2012-03-13 11:27:20+00:00,1-504538555
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-04-03 15:59:27+00:00,1-504538555
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,Wait - Implementation,2012-04-04 15:53:31+00:00,1-504538555
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-04-04 15:54:40+00:00,1-504538555
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD706,In Progress,2012-05-04 08:55:03+00:00,1-504538555
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Completed,Medium,PROD706,Resolved,2012-05-04 08:57:02+00:00,1-504538555
V37 2nd,0,nl,Siebel,Org line V7n,,Completed,Medium,PROD706,Closed,2012-05-12 01:21:30+00:00,1-504538555
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-07 10:42:08+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-07 10:44:43+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-07 10:51:59+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-07 10:52:51+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-07 11:48:31+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-07 11:55:20+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-07 12:03:37+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-07 12:04:35+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-07 13:22:56+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-07 13:24:38+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-07 14:13:15+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-07 14:13:58+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-08 06:53:06+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-08 06:55:54+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-08 09:16:24+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-08 09:18:18+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-08 09:20:32+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-08 09:22:46+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-09 07:16:14+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-09 07:17:16+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-09 17:03:41+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-09 17:05:12+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-10 12:29:05+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-10 12:47:33+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-14 10:19:53+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Assigned,2011-03-14 10:28:30+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-14 10:28:35+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-14 10:29:13+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-14 10:30:27+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-14 10:37:19+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-15 10:41:17+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-15 10:53:36+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-15 11:00:18+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-15 11:12:52+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-15 11:21:49+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-15 11:23:58+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-15 11:27:28+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-15 11:33:30+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-15 12:38:16+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-15 14:39:01+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-23 10:13:28+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-23 10:13:29+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-03-23 10:17:21+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-24 10:12:18+00:00,1-506071646
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-24 10:13:25+00:00,1-506071646
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-03-24 13:20:10+00:00,1-506071646
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-03-24 13:20:46+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-03-24 17:50:30+00:00,1-506071646
V32 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-03-24 17:54:55+00:00,1-506071646
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-05-04 18:36:03+00:00,1-506071646
D8,Netherlands,nl,Earl,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-05-23 14:52:07+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-05-24 15:02:14+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-05-24 17:16:36+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-05-25 16:25:09+00:00,1-506071646
D8,0,nl,Siebel,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-05-26 14:52:07+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-05-26 16:20:06+00:00,1-506071646
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-05-26 16:21:36+00:00,1-506071646
V32 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-05-26 16:21:59+00:00,1-506071646
V32 2nd,Netherlands,nl,Earl,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-07-20 15:55:42+00:00,1-506071646
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Accepted,Medium,PROD542,In Progress,2012-05-04 09:00:07+00:00,1-506071646
V37 2nd,Netherlands,nl,Juan,Org line V7n,,Completed,Medium,PROD542,Resolved,2012-05-04 09:01:21+00:00,1-506071646
V37 2nd,0,nl,Siebel,Org line V7n,,Completed,Medium,PROD542,Closed,2012-05-12 01:21:30+00:00,1-506071646
S42,Sweden,se,Marcus,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-04 16:51:24+00:00,1-512795200
S42,Sweden,se,Marcus,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-04 16:52:15+00:00,1-512795200
S43,Sweden,se,Marcus,Org line C,V3_2,Queued,Medium,PROD660,Awaiting Assignment,2011-04-04 16:58:11+00:00,1-512795200
S43,Sweden,se,Sandra,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-04 17:11:27+00:00,1-512795200
S43,Sweden,se,Sandra,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2011-04-04 17:11:37+00:00,1-512795200
S43,Sweden,se,Daniel,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-04 17:18:04+00:00,1-512795200
S43,Sweden,se,Daniel,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2011-04-04 17:24:46+00:00,1-512795200
S43,Sweden,se,Daniel,Org line C,V3_2,Completed,Medium,PROD660,Resolved,2011-04-08 11:42:53+00:00,1-512795200
S42,Sweden,se,Simon,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2011-04-11 18:53:52+00:00,1-512795200
S42,Sweden,se,Simon,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-11 18:56:47+00:00,1-512795200
S43,Sweden,se,Simon,Org line C,V3_2,Queued,Medium,PROD660,Awaiting Assignment,2011-04-11 18:57:06+00:00,1-512795200
S43,Sweden,se,Marie,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-12 08:21:26+00:00,1-512795200
S43,Sweden,se,Marie,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2011-04-12 08:22:36+00:00,1-512795200
S43,Sweden,se,Daniel,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-04-12 09:12:13+00:00,1-512795200
S43,Sweden,se,Daniel,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2011-04-12 09:12:19+00:00,1-512795200
S43,Sweden,se,Sandra,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-05-31 10:39:43+00:00,1-512795200
S43,Sweden,se,Sandra,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2011-05-31 10:39:48+00:00,1-512795200
S43,Sweden,se,Sandra,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2011-10-28 15:22:35+00:00,1-512795200
S43,Sweden,se,Björn,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-10-31 08:06:01+00:00,1-512795200
S43,Sweden,se,Björn,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2011-10-31 08:06:05+00:00,1-512795200
S43,Sweden,se,Björn,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2011-12-09 11:24:12+00:00,1-512795200
S43,Sweden,se,Mats,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2011-12-09 15:00:24+00:00,1-512795200
S43,Sweden,se,Mats,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2011-12-09 15:00:29+00:00,1-512795200
S43,Sweden,se,Per,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2012-03-12 10:03:11+00:00,1-512795200
S43,Sweden,se,Per,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2012-03-12 10:03:15+00:00,1-512795200
S43,Sweden,se,Per,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2012-03-19 13:15:59+00:00,1-512795200
S43,Sweden,se,Björn,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2012-03-19 14:21:01+00:00,1-512795200
S43,Sweden,se,Björn,Org line C,V3_2,Accepted,Medium,PROD660,Assigned,2012-03-19 14:23:52+00:00,1-512795200
S43,Sweden,se,Mats,Org line C,V3_2,Accepted,Medium,PROD660,In Progress,2012-03-20 09:32:27+00:00,1-512795200
S43,Sweden,se,Mats,Org line C,V3_2,Accepted,Medium,PROD660,Wait - User,2012-03-20 09:32:53+00:00,1-512795200
S43,Sweden,se,Mats,Org line C,V3_2,Completed,Medium,PROD660,Resolved,2012-05-02 16:01:42+00:00,1-512795200
S43,0,se,Siebel,Org line C,V3_2,Completed,Medium,PROD660,Closed,2012-05-10 01:20:47+00:00,1-512795200
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-04-13 16:04:32+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-04-13 16:05:38+00:00,1-516553982
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-04-13 16:12:39+00:00,1-516553982
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-04-19 14:23:12+00:00,1-516553982
D8,Netherlands,nl,Luc,Org line A2,A2_1,Queued,Medium,PROD542,Awaiting Assignment,2011-04-19 14:27:05+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-04-19 14:57:53+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-04-19 15:01:16+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-04-22 11:29:18+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,Wait - User,2011-04-22 11:30:27+00:00,1-516553982
D8,POLAND,nl,Olga,Org line A2,A2_1,Accepted,Medium,PROD542,In Progress,2011-04-27 18:38:48+00:00,1-516553982
V37 2nd,POLAND,nl,Olga,Org line V7n,,Queued,Medium,PROD542,Awaiting Assignment,2011-04-27 18:42:38+00:00,1-516553982
V37 2nd,Netherlands,nl,Luc,Org line V7n,,Accepted,Medium,PROD542,In Progress,2011-04-28 11:06:05+00:00,1-516553982
